3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
4,8
4,18
5,8
5,18
6,8
6,9
6,18
7,8
7,9
7,12
7,13
7,14
7,15
7,18
8,7
8,8
8,9
8,15
8,16
8,17
8,18
9,4
9,5
9,6
9,7
9,16
10,4
10,7
10,9
10,11
10,13
10,16
11,4
11,15
11,16
12,4
12,5
12,7
12,8
12,9
12,11
12,13
12,15
12,16
13,5
13,7
13,8
13,16
14,4
14,5
14,7
14,8
14,9
14,10
14,11
14,13
14,15
14,16
15,4
15,16
16,4
16,7
16,9
16,11
16,13
16,16
17,4
17,5
17,6
17,7
17,9
17,11
17,12
17,13
17,14
17,15
17,16
18,4
18,14
18,16
19,4
19,5
19,6
19,7
19,8
19,9
19,11
19,12
19,14
19,16
20,9
20,10
20,11
20,12
20,16
21,12
21,13
21,14
21,15
21,16
