4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
5,9
5,10
5,11
5,12
5,13
5,14
5,15
5,16
5,17
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
7,10
7,11
7,16
7,17
8,10
8,11
8,12
8,13
8,14
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
10,5
10,6
10,8
10,10
10,12
10,14
10,15
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,14
12,6
12,10
12,12
12,14
13,6
13,9
13,10
13,11
13,12
13,13
13,14
13,15
14,6
14,12
14,14
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
16,5
16,6
16,8
16,10
16,12
16,14
16,15
17,8
17,10
18,5
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
19,10
19,13
19,15
20,13
20,14
20,15
